Country,ISO3166,MCC MNC,MNO,RAT,Bands (Main),Plan,Support,Supported Features,Date
Albania,ALB,27602,Vodafone,NB-IoT,,plan01s,Observed,,02/02/2025
Andorra,AND,21303,Mobiland,NB-IoT,,plan01s,Observed,,02/02/2025
Austria,AUT,23201,A1,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,08/20/2024
Austria,AUT,23201,A1,NB-IoT,B20,planX3,Guaranteed,PSM and eDRX | SMS,09/30/2024
Austria,AUT,23203,Magenta,NB-IoT,B8,plan01s,Guaranteed,PSM or eDRX,08/20/2024
Belgium,BEL,20620,Base,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,09/30/2024
Belgium,BEL,20601,Proximus,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,06/04/2024
Belgium,BEL,20610,Orange,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,06/04/2024
Belgium,BEL,20610,Orange,NB-IoT,B20,planX3,Guaranteed,PSM* and eDRX,11/05/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,plan01s,Validated,SMS,08/20/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,plan-NA1,Validated,SMS,06/04/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,planP1,Validated,-,06/25/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,plan-US-NA,Validated,-,06/25/2024
Chile,CHL,73001,Entel,NB-IoT,B2 | B28,plan01s,Validated,PSM and eDRX,06/05/2024
Chile,CHL,73003,Claro,NB-IoT,B28,planP1,Validated,PSM and eDRX,07/19/2024
China,CHN,46000,China Mobile,NB-IoT,B8,plan01s,Validated,SMS,06/04/2024
China,CHN,46000,China Mobile,NB-IoT,B8,planP1,Validated,eDRX | SMS (MT),06/11/2024
Czech,CZE,23003,Vodafone,NB-IoT,B20,planX3,Guaranteed,PSM and eDRX,12/09/2024
Croatia,HRV,21910,A1,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,08/20/2024
Croatia,HRV,21910,A1,NB-IoT,B20,planX3,Validated,PSM* and eDRX | SMS,02/20/2025
Croatia,HRV,21901,HT,NB-IoT,B8 | B20,planX3,Validated,PSM*,12/09/2024
Cyprus,CYP,28001,Cytamobile,NB-IoT,,plan01s,Observed,,06/06/2024
Denmark,DNK,23802,Telenor,NB-IoT,B20,plan01s,Guaranteed,PSM,12/09/2024
Estonia,EST,24802,Elisa,NB-IoT,B20,planP1,Validated,PSM* and eDRX | SMS (MT),06/04/2024
Estonia,EST,24802,Elisa,NB-IoT,B20,planX3,Validated,PSM* | SMS,09/30/2024
Estonia,EST,24802,Elisa,NB-IoT,B20,plan01s,Validated,PSM* | SMS,06/04/2024
Finland,FIN,24412,DNA,NB-IoT,B8 | B20,plan01s,Guaranteed,PSM* and eDRX | SMS,09/13/2024
Finland,FIN,24412,DNA,NB-IoT,B8 | B20,planX3,Validated,PSM and eDRX,06/04/2024
Germany,DEU,26203,O2,NB-IoT,B20,planX3,Validated,PSM*>=180min | SMS,09/26/2024
Germany,DEU,26203,O2,NB-IoT,B20,plan01s,Guaranteed,PSM*>=180min | SMS,02/14/2025
Germany,DEU,26202,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,08/20/2024
Greece,GRC,20205,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM*,02/14/2025
Greece,GRC,20210,Wind,NB-IoT,B20,plan01s,Validated,PSM*,09/17/2024
Greece,GRC,20210,Wind,NB-IoT,B20,planP1,Validated,PSM* and eDRX,06/04/2024
Greece,GRC,20205,Vodafone,NB-IoT,B20,planX3,Validated,PSM*,06/04/2024
India,IND,40445,AirTel,NB-IoT,,plan01s,Observed,,03/05/2025
Ireland,IRL,27205,3,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/13/2024
Italy,ITA,22201,TIM,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,02/14/2025
Italy,ITA,22201,TIM,NB-IoT,B20,planX3,Guaranteed,PSM* and eDRX,06/04/2024
Italy,ITA,22210,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM,08/20/2024
Israel,ISR,42501,Partner,NB-IoT,B28,plan01s,Validated,eDRX* | SMS,12/12/2024
Latvia,LVA,24701,LMT,NB-IoT,B20,plan01s,Guaranteed,SMS,05/30/2024
Luxembourg,LUX,27077,Tango,NB-IoT,B20,plan01s,Validated,,12/30/2024
Malta,MLT,27877,Melita,NB-IoT,B20,plan01s,Validated,PSM and eDRX* | SMS,01/14/2025
Mexico,MEX,334020,Telcel,NB-IoT,B5,plan01s,Validated,PSM* and eDRX | SMS,09/30/2024
Netherlands,NLD,20404,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,06/04/2024
Norway,NOR,24201,Telenor,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/13/2024
Puerto Rico,PRI,310260,T-Mobile,NB-IoT,B4,plan01s,Validated,PSM and eDRX,04/04/2024
Singapore,SGP,52501,Singtel,NB-IoT,B3 | B8,plan01s,Validated,PSM* and eDRX,06/04/2024
Singapore,SGP,52501,Singtel,NB-IoT,B3 | B8,planP1,Validated,PSM* and eDRX,06/04/2024
Slovak Republic,SVK,23101,Orange,NB-IoT,B20,planX3,Guaranteed,PSM and eDRX,06/04/2024
Slovenia,SVN,29340,A1,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,08/20/2024
Slovenia,SVN,29340,A1,NB-IoT,B20,planP1,Validated,PSM and eDRX,02/20/2025
Slovenia,SVN,29340,A1,NB-IoT,B20,planX3,Validated,PSM and eDRX,02/20/2025
South Africa,ZAF,65501,Vodacom,NB-IoT,B8,plan01s,Validated,PSM and eDRX,11/28/2024
Spain,ESP,21403,Orange,NB-IoT,B20,plan01s,Validated,PSM* and eDRX,08/20/2024
Spain,ESP,21403,Orange,NB-IoT,B20,planX3,Validated,SMS,06/04/2024
Spain,ESP,21407,Movistar,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,01/20/2025
Spain,ESP,21401,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,08/20/2024
Switzerland,CHE,22801,Swisscom,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/04/2024
Switzerland,CHE,22802,Sunrise,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/04/2024
Taiwan,TWN,46692,Chunghwa Telecom,NB-IoT,B8 | (B28),plan01s,Guaranteed,PSM* and eDRX,08/20/2024
Turkey,TUR,28601,Turkcell,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,02/14/2025
Ukraine,UKR,25506,Lifecell,NB-IoT,B3,plan01s,Validated,PSM and eDRX,02/14/2025
United Kingdom,GBR,23415,Vodafone,NB-IoT,B20,planX3,Guaranteed,PSM*,11/29/2023
United States,USA,310410,AT&T,NB-IoT,B2 | B4 | B12 | B17 | B85,plan-US,Validated,PSM and eDRX,06/04/2024
United States,USA,311588,US Cellular,NB-IoT,B12,planUS,Guaranteed,PSM* and eDRX | SMS,07/04/2024
United States,USA,310260,T-Mobile,NB-IoT,B4 | B2 | B12,plan01s,Guaranteed,PSM and eDRX,08/20/2024
United States,USA,310260,T-Mobile,NB-IoT,B4 | B2 | B12,plan-NA1,Guaranteed,PSM and eDRX,05/23/2024
Uruguay,URY,74801,Antel,NB-IoT,B3,plan01s,Validated,PSM and eDRX | SMS,06/04/2024
Argentina,ARG,722310,Claro,LTE-M,B28,plan01s,Validated,SMS,10/29/2024
Argentina,ARG,72207,Movistar,LTE-M,B4,plan01s,Validated,SMS,01/30/2024
Australia,AUS,50501,Telstra,LTE-M,(B3) | B28,plan01s,Validated,PSM* and eDRX | SMS,05/28/2024
Australia,AUS,50501,Telstra,LTE-M,(B3) | B28,planP1,Validated,PSM* and eDRX | SMS,08/01/2024
Austria,AUT,23201,A1,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/30/2024
Austria,AUT,23201,A1,LTE-M,B20,planX3,Guaranteed,PSM and eDRX | SMS,11/05/2024
Austria,AUT,23203,Magenta,LTE-M,(B3) | B8 | B20,plan01s,Validated,SMS,01/30/2024
Belgium,BEL,20610,Orange,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,01/30/2024
Belgium,BEL,20610,Orange,LTE-M,B20,planX3,Guaranteed,PSM* and eDRX | SMS,05/30/2024
Belgium,BEL,20610,Orange,LTE-M,B20,planP1,Validated,SMS,06/03/2024
Belgium,BEL,20601,Proximus,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,05/30/2024
Belgium,BEL,20601,Proximus,LTE-M,B20,planX3,Validated,SMS,05/30/2024
Brazil,BRA,72423,Vivo,LTE-M,B3,plan01s,Validated,SMS,01/30/2024
Brazil,BRA,72411,Vivo,LTE-M,B3,plan01s,Validated,SMS,01/30/2024
Brazil,BRA,72405,Claro,LTE-M,B28,plan01s,Validated,PSM and eDRX | SMS,01/30/2024
Bulgaria,BGR,28405,Yettel,LTE-M,B3,plan01s,Validated,SMS,01/11/2024
Bulgaria,BGR,28405,Yettel,LTE-M,B3,planX3,Validated,SMS,11/15/2023
Canada,CAN,302720,Rogers,LTE-M,B4 | B5 | B12 | B85,plan01s,Validated,SMS,06/03/2024
Canada,CAN,302720,Rogers,LTE-M,B4 | B5 | B12 | B85,plan-NA1,Validated,SMS,06/03/2024
Canada,CAN,302720,Rogers,LTE-M,B4 | B5 | B12 | B85,planP1,Validated,SMS,06/03/2024
Canada,CAN,302720,Rogers,LTE-M,B4 | B5 | B12 | B85,plan-US-NA,Validated,SMS,06/03/2024
Canada,CAN,302220,Telus,LTE-M,B12 | B17,plan01s,Guaranteed,PSM and eDRX | SMS,12/11/2024
Canada,CAN,302220,Telus,LTE-M,B12 | B17,plan-NA1,Guaranteed,PSM and eDRX | SMS,10/17/2023
Canada,CAN,302500,Videotron,LTE-M,B12 | B85,plan01s,Validated,SMS,06/05/2024
Canada,CAN,302500,Videotron,LTE-M,B12 | B85,plan-NA1,Validated,SMS,06/05/2024
Colombia,COL,732123,Movistar,LTE-M,B5,plan01s,Validated,SMS,07/24/2024
Costa Rica,CRI,71203,Claro,LTE-M,B3,plan01s,Validated,SMS,01/30/2024
Costa Rica,CRI,71204,Movistar,LTE-M,B3,plan01s,Validated,SMS,01/03/2024
Croatia,HRV,21910,A1,LTE-M,B20,plan01s,Validated,PSM* and eDRX | SMS,01/14/2025
Croatia,HRV,21910,A1,LTE-M,B20,planX3,Validated,PSM* and eDRX | SMS,01/14/2025
Czech Republic,CZE,23002,O2,LTE-M,B20,plan01s,Validated,SMS,06/06/2024
Czech Republic,CZE,23002,O2,LTE-M,B20,planX3,Validated,SMS,07/24/2024
Czech Republic,CZE,23001,T-Mobile,LTE-M,B20,plan01s,Validated,SMS,07/29/2024
Czech Republic,CZE,23001,T-Mobile,LTE-M,B20,planP1,Validated,SMS,01/02/2024
Czech Republic,CZE,23003,Vodafone,LTE-M,B3 | B20,plan01s,Guaranteed,PSM* and eDRX | SMS,11/19/2024
Czech Republic,CZE,23003,Vodafone,LTE-M,B3 | B20,planX3,Guaranteed,PSM* and eDRX | SMS,02/02/2024
Denmark,DNK,23806,3,LTE-M,B8 | B20,plan01s,Guaranteed,PSM and eDRX | SMS,10/29/2024
Denmark,DNK,23806,3,LTE-M,B8 | B20,planP1,Validated,SMS,01/02/2024
Denmark,DNK,23801,TDC,LTE-M,B20,plan01s,Guaranteed,PSM* or eDRX | SMS,10/29/2024
Denmark,DNK,23802,Telenor,LTE-M,B20,plan01s,Guaranteed,PSM | SMS,09/13/2024
Denmark,DNK,23802,Telenor,LTE-M,B20,planX3,Guaranteed,PSM | SMS,04/23/2024
Denmark,DNK,23820,Telia,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/13/2024
Denmark,DNK,23820,Telia,LTE-M,B20,planX3,Guaranteed,PSM | SMS,06/10/2024
Denmark,DNK,23820,Telia,LTE-M,B20,planP1,Validated,SMS,11/19/2024
Ecuador,ECU,74000,Movistar,LTE-M,B2,plan01s,Validated,SMS,11/04/2024
El Salvador,SLV,70601,Claro,LTE-M,B2,plan01s,Validated,PSM* | SMS,08/15/2023
Estonia,EST,24802,Elisa,LTE-M,B3,plan01s,Guaranteed,PSM* | SMS,06/10/2024
Estonia,EST,24802,Elisa,LTE-M,B3,planX3,Validated,PSM* | SMS,06/05/2024
Estonia,EST,24802,Elisa,LTE-M,B3,planP1,Validated,PSM* | SMS,06/05/2024
Estonia,EST,24801,Telia,LTE-M,B3 | B20,plan01s,Validated,SMS,04/26/2024
Estonia,EST,24801,Telia,LTE-M,B3 | B20,planX3,Validated,SMS,06/05/2024
Estonia,EST,24801,Telia,LTE-M,B3 | B20,planP1,Validated,SMS,06/05/2024
Faroe Islands,FRO,28801,Faroese Telecom,LTE-M,B20,plan01s,Validated,SMS,01/13/2025
Faroe Islands,FRO,28802,Hey,LTE-M,B20,plan01s,Validated,SMS,01/13/2025
Finland,FIN,24412,DNA,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,09/13/2024
Finland,FIN,24412,DNA,LTE-M,B20,planX3,Guaranteed,PSM* and eDRX | SMS,04/23/2024
Finland,FIN,24405,Elisa,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,05/13/2024
Finland,FIN,24491,Telia,LTE-M,B1 | B3 | B7 | B20 | B28,plan01s,Validated,SMS,04/26/2024
Finland,FIN,24491,Telia,LTE-M,B1 | B3 | B7 | B20 | B28,planX3,Validated,SMS,01/16/2024
Finland,FIN,24491,Telia,LTE-M,B1 | B3 | B7 | B20 | B28,planP1,Validated,SMS,06/10/2024
France,FRA,20801,Orange,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,10/29/2024
France,FRA,20801,Orange,LTE-M,B20,planX3,Guaranteed,PSM* and eDRX | SMS,06/10/2024
France,FRA,20810,SFR,LTE-M,B20,plan01s,Validated,SMS,04/26/2024
Germany,DEU,26203,O2,LTE-M,B20,plan01s,Guaranteed,PSM*>=180min | SMS,09/19/2024
Germany,DEU,26203,O2,LTE-M,B20,planX3,Guaranteed,PSM*>=180min | SMS,09/26/2024
Germany,DEU,26201,Telekom.de,LTE-M,B3 | B20,planP1,Validated,SMS,01/18/2024
Germany,DEU,26202,Vodafone,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,04/26/2024
